Track name,Artist name,Language
Bajre Da Sitta,Rashmeet Kaur,1
Aaina,AFKAP,1
Namastute,Seedhe Maut,1
ACT UP,AyeTee,1
Fall Off (Interlude),KR$NA,1
Saza-E-Maut,KR$NA,1
Still Here (Intro),KR$NA,1
Wallah,DIVINE,1
Bombay to Punjab,Deep Jandu,1
Denim,Kazama,1
Sehwag,Fotty Seven,1
MONTERO (Call Me By Your Name),Lil Nas X,0
Tyler Herro,Jack Harlow,0
No Limit,G-Eazy,0
Passionfruit,Drake,0
YOSEMITE,Travis Scott,0
No Time (feat. Lil Durk),KSI,0
SOLO,Kazama,1
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0
Hope,XXXTENTACION,0
Panini,Lil Nas X,0
Look At Me!,XXXTENTACION,0
Way 2 Sexy (with Future & Young Thug),Drake,0
Praise God,Kanye West,0
Hate Me (with Juice WRLD),Ellie Goulding,0
Steppin',Supa Dupa Humble,0
Can't Tell Me Nothing,Kanye West,0
Nayi Dilli,AyeTee,1
Day 'n' Nite,Kid Cudi,0
She Knows (feat. Amber Coffman & Cults),J. Cole,0
Gangsta's Paradise,Coolio,0
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,0
PEW PEW!,Rawal,1
Kaloli,Saar Punch,1
No Cap,KR$NA,1
The Search - Edit,NF,0
Maharani,Karun,1
Gang wale munde,Paradox,1
Chal Beta Chupkar,Karrant,1
Bt Ho Gayi,Paradox,1
GHATOTKACH,Paradox,1
Sector 28,SangeetKir,1
Cloud 16,AyeTee,1
Kash Koi Mil Jaye,Fadu Rapper,1
Chhore NCR Aale,Paradox,1
Balma (feat. Aastha Gill),Bali,1
Man Of The Match,Bali,1
JASHAN-E-HIP-HOP,Raftaar,1
GANGNUM,Raftaar,1
36,Raftaar,1
NO CHINA,Raftaar,1
ICE,Raftaar,1
Do Guna,Seedhe Maut,1
Lost ones',Khyatish,1
MERA SAMAN KAHAN HAI?,Chaar Diwaari,1
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,0
Fast Lane,Bad Meets Evil,0
